line,treatment,week,latency,duration,mating,first.l,first.d
M399,rival,W6,14400,NA,0,521,1139
M502,rival,W6,14400,NA,0,562,1148
M315,single,W5,14400,NA,0,3206,1149
M907,single,W6,14400,NA,0,7303,1149
M239,rival,W5,14400,NA,0,3278,1150
M373,rival,W2,14400,NA,0,246,1155
M843,single,W5,14400,NA,0,4558,1157
M907,single,W2,14400,NA,0,832,1161
M439,rival,W3,14400,NA,0,3309,1162
M502,rival,W6,14400,NA,0,1599,1162
M91,rival,W2,14400,NA,0,483,1164
M395,single,W5,14400,NA,0,2941,1165
M443,rival,W6,14400,NA,0,1921,1168
M367,rival,W1,14400,NA,0,213,1175
M379,single,W5,14400,NA,0,505,1180
M900,rival,W5,14400,NA,0,2050,1180
M373,single,W5,14400,NA,0,1757,1188
M367,rival,W4,14400,NA,0,593,1194
M508,rival,W2,14400,NA,0,803,1199
M491,rival,W4,14400,NA,0,636,1211
M91,rival,W5,14400,NA,0,1234,1215
M26,rival,W3,14400,NA,0,1374,1224
M703,single,W4,14400,NA,0,807,1224
M28,rival,W1,14400,NA,0,1260,1230
M508,single,W6,14400,NA,0,1829,1239
M843,rival,W1,14400,NA,0,303,1249
M239,rival,W3,14400,NA,0,630,1250
M491,rival,W1,14400,NA,0,262,1253
M492,rival,W1,14400,NA,0,301,1253
M195,single,W2,14400,NA,0,4373,1255
M596,rival,W4,14400,NA,0,719,1263
M379,rival,W5,14400,NA,0,3292,1263
M239,rival,W2,14400,NA,0,191,1267
M395,single,W1,14400,NA,0,1291,1272
M367,rival,W3,14400,NA,0,439,1278
M195,single,W1,14400,NA,0,3242,1279
M596,rival,W5,14400,NA,0,2099,1280
M373,rival,W5,14400,NA,0,3810,1282
M26,rival,W1,14400,NA,0,2071,1283
M439,rival,W6,14400,NA,0,3659,1290
M26,single,W5,14400,NA,0,8320,1291
M357,rival,W2,14400,NA,0,565,1293
M765,rival,W5,14400,NA,0,891,1296
M399,rival,W5,14400,NA,0,2016,1301
M439,rival,W3,14400,NA,0,3083,1305
M129,rival,W5,14400,NA,0,561,1313
M703,rival,W4,14400,NA,0,2509,1320
M491,rival,W3,14400,NA,0,4721,1346
M765,rival,W2,14400,NA,0,902,1364
M91,rival,W2,14400,NA,0,40,1381
M367,rival,W5,14400,NA,0,7257,1386
M239,rival,W5,14400,NA,0,4265,1400
M703,rival,W5,14400,NA,0,1339,1422
M703,rival,W5,14400,NA,0,573,1454
M596,single,W5,14400,NA,0,835,1463
M239,single,W2,14400,NA,0,2796,1468
M443,rival,W1,14400,NA,0,3053,1493
M195,single,W5,14400,NA,0,4585,1519
M195,rival,W2,14400,NA,0,329,1525
M492,single,W2,14400,NA,0,2901,1539
M357,rival,W1,14400,NA,0,3272,1541
M907,rival,W1,14400,NA,0,814,1568
M357,single,W5,14400,NA,0,801,1613
M596,single,W2,14400,NA,0,2261,1647
