female,day,line,offspring,treatment,pop,obs
158,W3,M239,112,rival,iv,O670
139,W4,M596,112,single,iv,O671
159,W4,M315,112,single,iv,O672
181,W4,M239,112,single,iv,O673
187,W4,M596,112,single,iv,O674
231,W4,M315,112,single,iv,O675
239,W4,M900,112,single,iv,O676
134,W5,M239,112,rival,iv,O677
151,W6,M596,112,single,iv,O678
161,W6,M395,112,single,iv,O679
122,W1,M239,113,rival,iv,O680
160,W1,M315,113,rival,iv,O681
237,W2,M703,113,single,iv,O682
123,W3,M315,113,single,iv,O683
132,W3,M900,113,rival,iv,O684
211,W3,M596,113,single,iv,O685
191,W4,M900,113,single,iv,O686
204,W4,M900,113,rival,iv,O687
126,W5,M395,113,rival,iv,O688
138,W7,M395,113,rival,iv,O689
196,W3,M315,114,rival,iv,O690
218,W3,M239,114,rival,iv,O691
218,W4,M239,114,rival,iv,O692
224,W4,M596,114,rival,iv,O693
224,W1,M596,115,rival,iv,O694
194,W2,M239,115,rival,iv,O695
188,W4,M596,115,rival,iv,O696
148,W6,M315,115,rival,iv,O697
239,W6,M900,115,single,iv,O698
151,W10,M596,115,single,iv,O699
198,W2,M395,116,rival,iv,O700
222,W2,M395,116,rival,iv,O701
135,W3,M315,116,single,iv,O702
160,W3,M315,116,rival,iv,O703
206,W3,M239,116,rival,iv,O704
124,W4,M315,116,rival,iv,O705
193,W4,M239,116,single,iv,O706
161,W8,M395,116,single,iv,O707
135,W1,M315,117,single,iv,O708
184,W1,M315,117,rival,iv,O709
192,W2,M900,117,rival,iv,O710
196,W2,M315,117,rival,iv,O711
139,W3,M596,117,single,iv,O712
166,W3,M703,117,rival,iv,O713
179,W3,M900,117,single,iv,O714
174,W7,M395,117,rival,iv,O715
141,W1,M703,118,single,iv,O716
203,W1,M900,118,single,iv,O717
149,W2,M395,118,single,iv,O718
191,W2,M900,118,single,iv,O719
211,W2,M596,118,single,iv,O720
147,W3,M315,118,single,iv,O721
194,W3,M239,118,rival,iv,O722
196,W4,M315,118,rival,iv,O723
236,W4,M596,118,rival,iv,O724
122,W5,M239,118,rival,iv,O725
122,W7,M239,118,rival,iv,O726
159,W1,M315,119,single,iv,O727
205,W1,M239,119,single,iv,O728
214,W1,M703,119,rival,iv,O729
144,W2,M900,119,rival,iv,O730
204,W5,M900,119,rival,iv,O731
180,W6,M900,119,rival,iv,O732
157,W7,M239,119,single,iv,O733
190,W1,M703,120,rival,iv,O734
161,W4,M395,120,single,iv,O735
217,W5,M239,120,single,iv,O736
183,W1,M315,121,single,iv,O737
235,W1,M596,121,single,iv,O738
190,W3,M703,121,rival,iv,O739
233,W3,M395,121,single,iv,O740
129,W4,M703,121,single,iv,O741
184,W5,M315,121,rival,iv,O742
217,W6,M239,121,single,iv,O743
198,W1,M395,122,rival,iv,O744
234,W1,M395,122,rival,iv,O745
193,W2,M239,122,single,iv,O746
220,W3,M315,122,rival,iv,O747
